title,address,description,price,contact,images
1 bedroom flat for sale,"Lincoln Plaza, London E14","Tenure: Leasehold (935 years remaining),Secure modern development with concierge,Stylish studio flat ideal first time buy,Bright and spacious accommodation","400,000", 020 3641 3807,"https://media.onthemarket.com/properties/15319472/1500394790/image-0-480x320.jpg,https://media.onthemarket.com/properties/15319472/1500394790/image-0-480x320.jpg,https://media.onthemarket.com/properties/15319472/1500394790/image-1-480x320.jpg,https://media.onthemarket.com/properties/15319472/1500394790/image-2-480x320.jpg,https://media.onthemarket.com/properties/15319472/1500394790/image-3-480x320.jpeg,https://media.onthemarket.com/properties/15319472/1500394790/image-4-480x320.jpg"
1 bedroom apartment for sale,"Windmill Street, Birmingham B1","473 sq ft floor area,Nearest station 0.3mi.,Nearest school 0.1mi.","200,000", 020 8115 4379,"https://media.onthemarket.com/properties/15302509/1500146037/image-0-480x320.jpeg,https://media.onthemarket.com/properties/15302509/1500146037/image-0-480x320.jpeg,https://media.onthemarket.com/properties/15302509/1500146037/image-1-480x320.jpeg,https://media.onthemarket.com/properties/15302509/1500146037/image-2-480x320.jpeg,https://media.onthemarket.com/properties/15302509/1500146037/image-3-480x320.jpeg,https://media.onthemarket.com/properties/15302509/1500146037/image-4-480x320.jpeg"
Land for sale,"4.1 acres of strategic land near, Slip End, Bedfordshire / Hertfordshire LU1","Tenure: Freehold,Close to Green Belt development.,4.09 acres of flat pasture land.,In a popular residential area.","185,000", 01727 809327,"https://media.onthemarket.com/properties/15301223/1500135896/image-0-480x320.jpg,https://media.onthemarket.com/properties/15301223/1500135896/image-0-480x320.jpg,https://media.onthemarket.com/properties/15301223/1500135896/image-1-480x320.jpg,https://media.onthemarket.com/properties/15301223/1500135896/image-2-480x320.jpg,https://media.onthemarket.com/properties/15301223/1500135896/image-3-480x320.jpg,https://media.onthemarket.com/properties/15301223/1500135896/image-4-480x320.jpg"
3 bedroom semi-detached house for sale,"Gilda Crescent, Polegate BN26","Tenure: Freehold,Guide Price £325,000,CHAIN FREE,Light & Spacious Semi-Detached Home","325,000", 01323 376337,"https://media.onthemarket.com/properties/15298879/1500118548/image-0-480x320.jpg,https://media.onthemarket.com/properties/15298879/1500118548/image-0-480x320.jpg,https://media.onthemarket.com/properties/15298879/1500118548/image-1-480x320.jpg,https://media.onthemarket.com/properties/15298879/1500118548/image-2-480x320.jpg,https://media.onthemarket.com/properties/15298879/1500118548/image-3-480x320.jpg,https://media.onthemarket.com/properties/15298879/1500118548/image-4-480x320.jpg"
Garage for sale,"Gilda Crescent, Polegate BN26","Tenure: Freehold,Guide Price £15,000 to £20,000,Freehold,Parking To The Front","15,000", 01323 376337,"https://media.onthemarket.com/properties/15298866/1500117926/image-0-480x320.jpg,https://media.onthemarket.com/properties/15298866/1500117926/image-0-480x320.jpg,https://media.onthemarket.com/properties/15298866/1500117926/image-1-480x320.png,https://media.onthemarket.com/properties/15298866/1500117926/image-2-480x320.jpg,https://media.onthemarket.com/properties/15298866/1500117926/image-3-480x320.jpg"
1 bedroom flat for sale,"Somercoates Close, Cockfosters, EN4","Tenure: Leasehold,1 BED MAISONETTE,FIRST FLOOR,COCKFOSTERS","332,500", 020 8022 0195,"https://media.onthemarket.com/properties/15298587/1500115107/image-0-480x320.jpg,https://media.onthemarket.com/properties/15298587/1500115107/image-0-480x320.jpg,https://media.onthemarket.com/properties/15298587/1500115107/image-1-480x320.jpg,https://media.onthemarket.com/properties/15298587/1500115107/image-2-480x320.jpg,https://media.onthemarket.com/properties/15298587/1500115107/image-3-480x320.jpg,https://media.onthemarket.com/properties/15298587/1500115107/image-4-480x320.jpg"
Woodland for sale,Crymych SA66,"Tenure: Freehold,15 acres woodland,Large ponds/lakes,Nature reserve in the making","110,000", 020 8128 5147,"https://media.onthemarket.com/properties/15297998/1500104404/image-0-480x320.jpg,https://media.onthemarket.com/properties/15297998/1500104404/image-0-480x320.jpg,https://media.onthemarket.com/properties/15297998/1500104404/image-1-480x320.jpg,https://media.onthemarket.com/properties/15297998/1500104404/image-2-480x320.jpg,https://media.onthemarket.com/properties/15297998/1500104404/image-3-480x320.jpg,https://media.onthemarket.com/properties/15297998/1500104404/image-4-480x320.jpg"
Land for sale,"Bury Road, Hitcham IP7","Tenure: Freehold,AUCTION LOT,NEW BUILD FULL PLANNING APPROVAL,4 BEDROOMS","300,000", 01787 336854,"https://media.onthemarket.com/properties/15274252/1499669835/image-0-480x320.jpg,https://media.onthemarket.com/properties/15274252/1499669835/image-0-480x320.jpg,https://media.onthemarket.com/properties/15274252/1499669835/image-1-480x320.jpg,https://media.onthemarket.com/properties/15274252/1499681243/image-2-480x320.jpg,https://media.onthemarket.com/properties/15274252/1499666628/image-3-480x320.jpg,https://media.onthemarket.com/properties/15274252/1499681243/image-4-480x320.jpg"
1 bedroom apartment for sale,"at Manchester Buy To Let Apartment, Talbot Road M16","Tenure: Leasehold,Call Now to Receive a Floor Plan and Info Pack","220,000", 0161 506 0898,"https://media.onthemarket.com/properties/15322205/1500466123/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322205/1500466123/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322205/1500466123/image-1-480x320.jpg,https://media.onthemarket.com/properties/15322205/1500466123/image-2-480x320.jpg,https://media.onthemarket.com/properties/15322205/1500466123/image-3-480x320.jpg,https://media.onthemarket.com/properties/15322205/1500466123/image-4-480x320.jpg"
3 bedroom detached bungalow for sale,Beccles NR34,"Detached Bungalow,Modern","340,000", 01502 392214,"https://media.onthemarket.com/properties/15322201/1500465987/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322201/1500465987/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322201/1500465987/image-1-480x320.jpg,https://media.onthemarket.com/properties/15322201/1500465987/image-2-480x320.jpg,https://media.onthemarket.com/properties/15322201/1500465987/image-3-480x320.jpg,https://media.onthemarket.com/properties/15322201/1500465987/image-4-480x320.jpg"
3 bedroom semi-detached house for sale,"Blackbird Way, Stowmarket, IP14","THREE BEDOOM SEMI DETACHED FAMILY HOME,DOUBLE GLAZED WINDOWS & DOORS","270,000", 01449 356259,"https://media.onthemarket.com/properties/14946070/1491803212/image-0-480x320.jpg,https://media.onthemarket.com/properties/14946070/1491803212/image-0-480x320.jpg,https://media.onthemarket.com/properties/14946070/1491803212/image-1-480x320.jpg,https://media.onthemarket.com/properties/14946070/1491803212/image-2-480x320.jpg,https://media.onthemarket.com/properties/14946070/1491803212/image-3-480x320.jpg,https://media.onthemarket.com/properties/14946070/1491803212/image-4-480x320.jpg"
1 bedroom apartment for sale,"Newman Way, Rednal, Birmingham, West Midlands, B45","Tenure: Leasehold,Convenient ground floor flat","80,000", 0121 721 7491,"https://media.onthemarket.com/properties/15322193/1500465577/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322193/1500465577/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322193/1500465577/image-1-480x320.jpg,https://media.onthemarket.com/properties/15322193/1500465577/image-2-480x320.jpg,https://media.onthemarket.com/properties/15322193/1500465577/image-3-480x320.jpg,https://media.onthemarket.com/properties/15322193/1500465577/image-4-480x320.jpg"
3 bedroom terraced house for sale,"Maidstone Road, Felixstowe, Suffolk","Tenure: Freehold,MODERN KITCHEN","210,000", 01394 807478,"https://media.onthemarket.com/properties/15322192/1500465572/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322192/1500465572/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322192/1500465572/image-1-480x320.jpg,https://media.onthemarket.com/properties/15322192/1500465572/image-2-480x320.jpg,https://media.onthemarket.com/properties/15322192/1500465572/image-3-480x320.jpg,https://media.onthemarket.com/properties/15322192/1500465572/image-4-480x320.jpg"
1 bedroom apartment for sale,"Periwood Crescent, Perivale, UB6","473 sq ft floor area,Nearest station 0.3mi.","309,950", 020 8033 5575,"https://media.onthemarket.com/properties/15322188/1500465461/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322188/1500465461/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322188/1500465461/image-1-480x320.jpg,https://media.onthemarket.com/properties/15322188/1500465461/image-2-480x320.jpg,https://media.onthemarket.com/properties/15322188/1500465461/image-3-480x320.jpg,https://media.onthemarket.com/properties/15322188/1500465461/image-4-480x320.jpg"
4 bedroom link detached house for sale,"Shaw Close, Maidstone, Kent","Tenure: Freehold,OPEN HOUSE SATURDAY 3RD AUGUST 2024 - by appointment only,Link-detached house,Quiet and convenient cul-de-sac location","535,000", 01622 279829,"https://media.onthemarket.com/properties/15322187/1500465456/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322187/1500465456/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322187/1500465456/image-1-480x320.jpg,https://media.onthemarket.com/properties/15322187/1500465456/image-2-480x320.jpg,https://media.onthemarket.com/properties/15322187/1500465456/image-3-480x320.jpg,https://media.onthemarket.com/properties/15322187/1500465456/image-4-480x320.jpg"
3 bedroom detached bungalow for sale,"London Road, Clacton-On-Sea","Tenure: Freehold,Detached Bungalow,Three bedrooms,Detached Garage","350,000", 01255 481876,"https://media.onthemarket.com/properties/15314721/1500329103/image-0-480x320.jpg,https://media.onthemarket.com/properties/15314721/1500329103/image-0-480x320.jpg,https://media.onthemarket.com/properties/15314721/1500329103/image-1-480x320.jpg,https://media.onthemarket.com/properties/15314721/1500329103/image-2-480x320.jpg,https://media.onthemarket.com/properties/15314721/1500329103/image-3-480x320.jpg,https://media.onthemarket.com/properties/15314721/1500329103/image-4-480x320.jpg"
5 bedroom semi-detached house for sale,"Adamthwaite Drive, Stoke-On-Trent","Tenure: Freehold,HUGE POTENTIAL,POPULAR LOCATION,FIVE BEDROOMS","180,000", 01782 966911,"https://media.onthemarket.com/properties/15314680/1500454986/image-0-480x320.jpg,https://media.onthemarket.com/properties/15314680/1500454986/image-0-480x320.jpg,https://media.onthemarket.com/properties/15314680/1500328832/image-1-480x320.jpg,https://media.onthemarket.com/properties/15314680/1500328832/image-2-480x320.jpg,https://media.onthemarket.com/properties/15314680/1500328832/image-3-480x320.jpg,https://media.onthemarket.com/properties/15314680/1500328832/image-4-480x320.jpg"
2 bedroom barn conversion for sale,"West End, Middleham, Leyburn DL8","Tenure: Freehold,Nearest station 1.8mi.,Nearest school 0.2mi.","110,000", 01969 738982,"https://media.onthemarket.com/properties/15314342/1500328723/image-0-480x320.jpg,https://media.onthemarket.com/properties/15314342/1500328723/image-0-480x320.jpg,https://media.onthemarket.com/properties/15314342/1500328723/image-1-480x320.jpg,https://media.onthemarket.com/properties/15314342/1500328723/image-2-480x320.jpg"
2 bedroom detached bungalow for sale,"Schoolfield Close, Crewe","Tenure: Freehold,Detached Bungalow,Two Bedrooms,Conservatory","325,000", 01270 397940,"https://media.onthemarket.com/properties/15314575/1500327722/image-0-480x320.jpg,https://media.onthemarket.com/properties/15314575/1500327722/image-0-480x320.jpg,https://media.onthemarket.com/properties/15314575/1500327722/image-1-480x320.jpg,https://media.onthemarket.com/properties/15314575/1500327722/image-2-480x320.jpg,https://media.onthemarket.com/properties/15314575/1500327722/image-3-480x320.jpg"
1 bedroom apartment for sale,"Guithavon Street, Witham","Tenure: Leasehold (62 years remaining),No Chain,Ground Floor Apartment,Private Terrace","90,000", 01376 409858,"https://media.onthemarket.com/properties/15314529/1500327262/image-0-480x320.jpg,https://media.onthemarket.com/properties/15314529/1500327262/image-0-480x320.jpg,https://media.onthemarket.com/properties/15314529/1500327262/image-1-480x320.jpg,https://media.onthemarket.com/properties/15314529/1500327262/image-2-480x320.jpg,https://media.onthemarket.com/properties/15314529/1500327262/image-3-480x320.jpg,https://media.onthemarket.com/properties/15314529/1500327262/image-4-480x320.jpg"
3 bedroom semi-detached house for sale,"Maythorne Estate, Leyburn, DL8","Well-Presented Semi-Detached Property,Quiet Edge Of Town Location,3 Good Bedrooms,Spacious Living/Dining Area","275,000", 01969 738985,"https://media.onthemarket.com/properties/15314479/1500327027/image-0-480x320.jpg,https://media.onthemarket.com/properties/15314479/1500327027/image-0-480x320.jpg,https://media.onthemarket.com/properties/15314479/1500327027/image-1-480x320.jpg,https://media.onthemarket.com/properties/15314479/1500327027/image-2-480x320.jpg,https://media.onthemarket.com/properties/15314479/1500327027/image-3-480x320.jpg,https://media.onthemarket.com/properties/15314479/1500327027/image-4-480x320.jpg"
2 bedroom flat for sale,"Belsize Park Gardens, London, NW3","Tenure: Leasehold (156 years remaining),2 bedrooms,2 reception rooms,2 bathrooms","1,595,000", 020 8022 7297,"https://media.onthemarket.com/properties/15314392/1500326537/image-0-480x320.jpg,https://media.onthemarket.com/properties/15314392/1500326537/image-0-480x320.jpg,https://media.onthemarket.com/properties/15314392/1500326537/image-1-480x320.jpg,https://media.onthemarket.com/properties/15314392/1500326537/image-2-480x320.jpg,https://media.onthemarket.com/properties/15314392/1500326537/image-3-480x320.jpg,https://media.onthemarket.com/properties/15314392/1500326537/image-4-480x320.jpg"
3 bedroom terraced house for sale,"Gertrude Street, London, SW10","Tenure: Freehold,3 bedrooms,3 reception rooms,3 bathrooms","2,950,000", 020 8022 7230,"https://media.onthemarket.com/properties/15317083/1500347760/image-0-480x320.jpg,https://media.onthemarket.com/properties/15317083/1500347760/image-0-480x320.jpg,https://media.onthemarket.com/properties/15317083/1500347760/image-1-480x320.jpg,https://media.onthemarket.com/properties/15317083/1500347760/image-2-480x320.jpg,https://media.onthemarket.com/properties/15317083/1500347760/image-3-480x320.jpg,https://media.onthemarket.com/properties/15317083/1500347760/image-4-480x320.jpg"
3 bedroom end of terrace house for sale,"Madden Avenue, Great Yarmouth","Tenure: Freehold,Off Road Parking,Wooden Floors,Separate Ground Floor WC","200,000", 01493 288941,"https://media.onthemarket.com/properties/15316596/1500343616/image-0-480x320.jpg,https://media.onthemarket.com/properties/15316596/1500343616/image-0-480x320.jpg,https://media.onthemarket.com/properties/15316596/1500343616/image-1-480x320.jpg,https://media.onthemarket.com/properties/15316596/1500343616/image-2-480x320.jpg,https://media.onthemarket.com/properties/15316596/1500343616/image-3-480x320.jpg,https://media.onthemarket.com/properties/15316596/1500343616/image-4-480x320.jpg"
4 bedroom end of terrace house for sale,"Birch Grove, Brynmawr","Tenure: Freehold,End of Terrace Home,Four Bedrooms,Two Reception Rooms","185,000", 01495 522946,"https://media.onthemarket.com/properties/15316535/1500442907/image-0-480x320.jpg,https://media.onthemarket.com/properties/15316535/1500442907/image-0-480x320.jpg,https://media.onthemarket.com/properties/15316535/1500442907/image-1-480x320.jpg,https://media.onthemarket.com/properties/15316535/1500442907/image-2-480x320.jpg,https://media.onthemarket.com/properties/15316535/1500442907/image-3-480x320.jpg,https://media.onthemarket.com/properties/15316535/1500442907/image-4-480x320.jpg"
1 bedroom flat for sale,"Slough,  Berkshire,  SL1","Tenure: Leasehold,family bathroom,chain,leasehold property","200,000", 01753 903856,[None]
2 bedroom end of terrace house for sale,"Common Road, Hemsby","Tenure: Freehold,Cosy Living Room,English Garden,Private Driveway","200,000", 01493 288941,"https://media.onthemarket.com/properties/15316301/1500341065/image-0-480x320.jpg,https://media.onthemarket.com/properties/15316301/1500341065/image-0-480x320.jpg,https://media.onthemarket.com/properties/15316301/1500341065/image-1-480x320.jpg,https://media.onthemarket.com/properties/15316301/1500341065/image-2-480x320.jpg,https://media.onthemarket.com/properties/15316301/1500341065/image-3-480x320.jpg,https://media.onthemarket.com/properties/15316301/1500341065/image-4-480x320.jpg"
2 bedroom flat for sale,"Millbank, London SW1P","Tenure: Leasehold,State-of-the-art gymnasium, Residents' lounge, 24-hour concierge service","2,600,000", 020 3641 3807,"https://media.onthemarket.com/properties/15319396/1500393634/image-0-480x320.jpg,https://media.onthemarket.com/properties/15319396/1500393634/image-0-480x320.jpg,https://media.onthemarket.com/properties/15319396/1500393634/image-1-480x320.jpg,https://media.onthemarket.com/properties/15319396/1500393634/image-2-480x320.jpg,https://media.onthemarket.com/properties/15319396/1500393634/image-3-480x320.jpg,https://media.onthemarket.com/properties/15319396/1500393634/image-4-480x320.jpg"
2 bedroom terraced house for sale,"Crow Bridge, Cullompton, Devon, EX15","Tenure: Freehold,Charming period cottage,Character features,Vacant possession","225,000", 01823 760840,"https://media.onthemarket.com/properties/15319204/1500390686/image-0-480x320.jpg,https://media.onthemarket.com/properties/15319204/1500390686/image-0-480x320.jpg,https://media.onthemarket.com/properties/15319204/1500390686/image-1-480x320.jpg,https://media.onthemarket.com/properties/15319204/1500390686/image-2-480x320.jpg,https://media.onthemarket.com/properties/15319204/1500390686/image-3-480x320.jpg,https://media.onthemarket.com/properties/15319204/1500390686/image-4-480x320.jpg"
2 bedroom bungalow for sale,"Swifts, Langford Budville, Wellington, Somerset, TA21","Tenure: Freehold,Village location,Off road parking,Double glazing","230,000", 01823 760840,"https://media.onthemarket.com/properties/15319203/1500390683/image-0-480x320.jpg,https://media.onthemarket.com/properties/15319203/1500390683/image-0-480x320.jpg,https://media.onthemarket.com/properties/15319203/1500390683/image-1-480x320.jpg,https://media.onthemarket.com/properties/15319203/1500390683/image-2-480x320.jpg,https://media.onthemarket.com/properties/15319203/1500390683/image-3-480x320.jpg,https://media.onthemarket.com/properties/15319203/1500390683/image-4-480x320.jpg"
3 bedroom detached house for sale,"Station Road, Tinhay, Lifton, Devon, PL16","Tenure: Freehold,Detached imposing former manse.,Located at Tinhay close to Lifton.,Light and airy accommodation.","350,000", 01566 339973,"https://media.onthemarket.com/properties/15319182/1500390466/image-0-480x320.jpg,https://media.onthemarket.com/properties/15319182/1500390466/image-0-480x320.jpg,https://media.onthemarket.com/properties/15319182/1500390466/image-1-480x320.jpg,https://media.onthemarket.com/properties/15319182/1500390466/image-2-480x320.jpg,https://media.onthemarket.com/properties/15319182/1500390466/image-3-480x320.jpg,https://media.onthemarket.com/properties/15319182/1500390466/image-4-480x320.jpg"
Plot for sale,"Treswell Farm, Congdons Shop, Launceston, Cornwall, PL15","Tenure: Freehold,Superb development opportunity.,Grade II Listed former barn.,All with individual full residential consent.","225,000", 01566 339973,"https://media.onthemarket.com/properties/15319181/1500390455/image-0-480x320.jpg,https://media.onthemarket.com/properties/15319181/1500390455/image-0-480x320.jpg,https://media.onthemarket.com/properties/15319181/1500390455/image-1-480x320.jpg,https://media.onthemarket.com/properties/15319181/1500390455/image-2-480x320.jpg,https://media.onthemarket.com/properties/15319181/1500390455/image-3-480x320.jpg,https://media.onthemarket.com/properties/15319181/1500390455/image-4-480x320.jpg"
3 bedroom semi-detached house for sale,"St. Michaels Way, Roche, St. Austell, Cornwall, PL26","Tenure: Freehold,Three bedroom semi detached house,Garage with driveway parking,Conservatory and rear garden","235,000", 01208 216965,"https://media.onthemarket.com/properties/15319164/1500390326/image-0-480x320.jpg,https://media.onthemarket.com/properties/15319164/1500390326/image-0-480x320.jpg,https://media.onthemarket.com/properties/15319164/1500390326/image-1-480x320.jpg,https://media.onthemarket.com/properties/15319164/1500390326/image-2-480x320.jpg,https://media.onthemarket.com/properties/15319164/1500390326/image-3-480x320.jpg,https://media.onthemarket.com/properties/15319164/1500390326/image-4-480x320.jpg"
2 bedroom terraced house for sale,"Fearnley Street, West Watford","Tenure: Freehold,2 Double Bedrooms + Loft Room,2 Stunning Bathrooms,Open Plan Lounge/Diner","425,000", 01923 908965,"https://media.onthemarket.com/properties/13690921/1500093037/image-0-480x320.jpg,https://media.onthemarket.com/properties/13690921/1500093037/image-0-480x320.jpg,https://media.onthemarket.com/properties/13690921/1500093037/image-1-480x320.jpg,https://media.onthemarket.com/properties/13690921/1500093037/image-2-480x320.jpg,https://media.onthemarket.com/properties/13690921/1500093037/image-3-480x320.jpg,https://media.onthemarket.com/properties/13690921/1500093037/image-4-480x320.jpg"
2 bedroom flat for sale,"Marlborough Hill, St Johns Wood, London, NW8 0NG","Tenure: Leasehold,Stunning Period Property,Tree Lined Terrace.,Excellent decorative condition","765,000", 020 3551 4980,"https://media.onthemarket.com/properties/15293929/1500027311/image-0-480x320.jpg,https://media.onthemarket.com/properties/15293929/1500027311/image-0-480x320.jpg,https://media.onthemarket.com/properties/15293929/1500027311/image-1-480x320.jpg,https://media.onthemarket.com/properties/15293929/1500027311/image-2-480x320.jpg,https://media.onthemarket.com/properties/15293929/1500027311/image-3-480x320.jpg,https://media.onthemarket.com/properties/15293929/1500027311/image-4-480x320.jpg"
2 bedroom apartment for sale,"Rhodes Moorhouse Way, Longhedge SP4","Tenure: Leasehold (120 years remaining),Shared Ownership: based on 40% share,Open-plan kitchen / living area,Fitted kitchen with oven, hob and hood","78,000", 023 9424 6042,"https://media.onthemarket.com/properties/11786693/1499962139/image-0-480x320.jpg,https://media.onthemarket.com/properties/11786693/1499962139/image-0-480x320.jpg,https://media.onthemarket.com/properties/11786693/1499962139/image-1-480x320.jpg,https://media.onthemarket.com/properties/11786693/1499962139/image-2-480x320.jpg,https://media.onthemarket.com/properties/11786693/1499962139/image-3-480x320.jpg,https://media.onthemarket.com/properties/11786693/1499962139/image-4-480x320.jpg"
2 bedroom apartment for sale,"Chadwick Way, Hamble SO31","Tenure: Leasehold (80 years remaining),Shared Ownership: based on 50% share,Spacious living room,Fitted kitchen with oven and hob","87,500", 023 9424 6042,"https://media.onthemarket.com/properties/15291058/1499954082/image-0-480x320.jpg,https://media.onthemarket.com/properties/15291058/1499954082/image-0-480x320.jpg,https://media.onthemarket.com/properties/15291058/1499954082/image-1-480x320.jpg,https://media.onthemarket.com/properties/15291058/1499954082/image-2-480x320.jpg,https://media.onthemarket.com/properties/15291058/1499954082/image-3-480x320.jpg,https://media.onthemarket.com/properties/15291058/1499954082/image-4-480x320.jpg"
2 bedroom semi-detached house for sale,"Rowan Place, Ilchester BA22","Tenure: Leasehold (987 years remaining),Shared Ownership: based on 50% share,Spacious living area,Fitted kitchen with oven, hob and hood","110,000", 023 9424 6042,"https://media.onthemarket.com/properties/15290552/1499947556/image-0-480x320.jpg,https://media.onthemarket.com/properties/15290552/1499947556/image-0-480x320.jpg,https://media.onthemarket.com/properties/15290552/1499947556/image-1-480x320.jpg,https://media.onthemarket.com/properties/15290552/1499947556/image-2-480x320.jpg,https://media.onthemarket.com/properties/15290552/1499947556/image-3-480x320.jpg,https://media.onthemarket.com/properties/15290552/1499947556/image-4-480x320.jpg"
3 bedroom end of terrace house for sale,"Trigg Crescent, Longhedge SP4","Tenure: Leasehold (119 years remaining),Shared Ownership: based on 55% share,Spacious living area,Fitted kitchen with oven, hob and hood","173,250", 023 9424 6042,"https://media.onthemarket.com/properties/15289749/1499933385/image-0-480x320.jpg,https://media.onthemarket.com/properties/15289749/1499933385/image-0-480x320.jpg,https://media.onthemarket.com/properties/15289749/1499933385/image-1-480x320.jpg,https://media.onthemarket.com/properties/15289749/1499933385/image-2-480x320.jpg,https://media.onthemarket.com/properties/15289749/1499933385/image-3-480x320.jpg,https://media.onthemarket.com/properties/15289749/1499933385/image-4-480x320.jpg"
2 bedroom apartment for sale,"Winchester Court, West View, Halifax, West Yorkshire, HX3","Shops and amenities nearby,Fitted Kitchen,En suite,Double glazing","110,000", 01274 506656,"https://media.onthemarket.com/properties/15289293/1499926809/image-0-480x320.jpg,https://media.onthemarket.com/properties/15289293/1499926809/image-0-480x320.jpg,https://media.onthemarket.com/properties/15289293/1499926809/image-1-480x320.jpg,https://media.onthemarket.com/properties/15289293/1499926809/image-2-480x320.jpg,https://media.onthemarket.com/properties/15289293/1499926809/image-3-480x320.jpg,https://media.onthemarket.com/properties/15289293/1499926809/image-4-480x320.jpg"
4 bedroom townhouse for sale,"Walnut Tree Avenue, Rendlesham, IP12 2GG","Tenure: Freehold,Popular Village Location","290,000", 01394 807904,"https://media.onthemarket.com/properties/15322185/1500465433/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322185/1500465433/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322185/1500465433/image-1-480x320.jpg,https://media.onthemarket.com/properties/15322185/1500465433/image-2-480x320.jpg,https://media.onthemarket.com/properties/15322185/1500465433/image-3-480x320.jpg,https://media.onthemarket.com/properties/15322185/1500465433/image-4-480x320.jpg"
3 bedroom semi-detached house for sale,"Court Hey Road, Liverpool, Merseyside, L16","Corner Plot,3 Bedrooms","290,000", 0151 382 8296,"https://media.onthemarket.com/properties/14716989/1486303438/image-0-480x320.jpg,https://media.onthemarket.com/properties/14716989/1486303438/image-0-480x320.jpg,https://media.onthemarket.com/properties/14716989/1486303438/image-1-480x320.jpg,https://media.onthemarket.com/properties/14716989/1486303438/image-2-480x320.jpg,https://media.onthemarket.com/properties/14716989/1486303438/image-3-480x320.jpg,https://media.onthemarket.com/properties/14716989/1486303438/image-4-480x320.jpg"
3 bedroom flat for sale,"Flat 2, 8, Kimmerghame Place, Edinburgh, EH4 2GE","Beautifully presented three bedroom flat,Prestigious location close to city centre","370,000", 0131 268 9625,"https://media.onthemarket.com/properties/15322177/1500465274/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322177/1500465274/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322177/1500465274/image-1-480x320.jpg,https://media.onthemarket.com/properties/15322177/1500465274/image-2-480x320.jpg,https://media.onthemarket.com/properties/15322177/1500465274/image-3-480x320.jpg,https://media.onthemarket.com/properties/15322177/1500465274/image-4-480x320.jpg"
1 bedroom flat for sale,"3/12 McLeod Street, Gorgie, Edinburgh, EH11 2NJ","Tenure: Freehold,Bright top (3rd) floor flat.","115,000", 0131 268 9619,"https://media.onthemarket.com/properties/15322176/1500465272/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322176/1500465272/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322176/1500465272/image-1-480x320.jpg,https://media.onthemarket.com/properties/15322176/1500465272/image-2-480x320.jpg,https://media.onthemarket.com/properties/15322176/1500465272/image-3-480x320.jpg,https://media.onthemarket.com/properties/15322176/1500465272/image-4-480x320.jpg"
5 bedroom detached house for sale,"Valley Road,  Weaverham, CW8","No Chain,Fabulous Family Home","550,000", 01606 622869,"https://media.onthemarket.com/properties/15322173/1500465234/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322173/1500465234/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322173/1500465234/image-1-480x320.jpg,https://media.onthemarket.com/properties/15322173/1500465234/image-2-480x320.jpg,https://media.onthemarket.com/properties/15322173/1500465234/image-3-480x320.jpg,https://media.onthemarket.com/properties/15322173/1500465234/image-4-480x320.jpg"
3 bedroom semi-detached house for sale,"Keepers Lane,  Weaverham, CW8","Lovely Corner Plot,Superb Family Home","220,000", 01606 622869,"https://media.onthemarket.com/properties/15322168/1500465162/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322168/1500465162/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322168/1500465162/image-1-480x320.jpg,https://media.onthemarket.com/properties/15322168/1500465162/image-2-480x320.jpg,https://media.onthemarket.com/properties/15322168/1500465162/image-3-480x320.jpg,https://media.onthemarket.com/properties/15322168/1500465162/image-4-480x320.jpg"
2 bedroom terraced house for sale,"Scott Drive, Wickford, Essex","Tenure: Freehold,OPEN HOUSE SATURDAY 3RD AUGUST 2024 - by appointment only,On the doorstep to Oakfield Primary School,Stunning family bathroom","325,000", 01268 810632,"https://media.onthemarket.com/properties/15322166/1500465138/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322166/1500465138/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322166/1500465138/image-1-480x320.jpg,https://media.onthemarket.com/properties/15322166/1500465138/image-2-480x320.jpg,https://media.onthemarket.com/properties/15322166/1500465138/image-3-480x320.jpg,https://media.onthemarket.com/properties/15322166/1500465138/image-4-480x320.jpg"
